Arrondissement,Commerces,Culture,Enseignement,Environnement,Qualité de vie,Santé,Sports et loisirs,Sécurité,Transports,Etiquette_GES,Etiquette_DPE,nombre_de_bars,nombre_de_club,Valeur fonciere,Surface reelle bati,Nombre pieces principales,Adresse,prix_m2,Appartement,Maison,lat,long
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,4565000.0,177.0,5.0,244 RUE DE RIVOLI 75001,25790.96,1,0,48.866083,2.325353
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,6150000.0,244.0,4.0,206 RUE DE RIVOLI 75001,25204.92,1,0,48.864398,2.330545
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,553000.0,22.0,1.0,220 RUE DE RIVOLI 75001,25136.36,1,0,48.864926,2.328924
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,3015000.0,120.0,5.0,8 RUE HEROLD 75001,25125.0,1,0,48.864749,2.341361
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,3000000.0,120.0,4.0,26 RUE CAMBON 75001,25000.0,1,0,48.868013,2.326773
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,2590000.0,104.0,3.0,50 QUAI DES ORFEVRES 75001,24903.85,1,0,48.856176,2.342201
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,3300000.0,136.0,6.0,10 QUAI DE LA MEGISSERIE 75001,24264.71,1,0,48.857976,2.344835
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,3179920.0,132.0,4.0,3 RUE D ALGER 75001,24090.3,1,0,48.865052,2.329503
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,3050000.0,128.0,5.0,226 RUE DE RIVOLI 75001,23828.12,1,0,48.865084,2.328431
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,2400000.0,101.0,3.0,14 RUE SAINT-ROCH 75001,23762.38,1,0,48.864566,2.331825
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,258000.0,11.0,1.0,59 RUE SAINT-DENIS 75001,23454.55,1,0,48.861237,2.348757
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,258000.0,11.0,1.0,59 RUE SAINT-DENIS 75001,23454.55,1,0,48.861237,2.348757
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1450000.0,62.0,2.0,51 RUE SAINT-DENIS 75001,23387.1,1,0,48.861041,2.348639
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,687000.0,30.0,1.0,6 RUE D ALGER 75001,22900.0,1,0,48.865006,2.329649
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1419950.0,63.0,2.0,16 PL VENDOME 75001,22538.89,1,0,48.867298,2.330298
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1010000.0,45.0,2.0,12 PL DAUPHINE 75001,22444.44,1,0,48.856752,2.342742
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,460000.0,21.0,1.0,217 RUE SAINT-HONORE 75001,21904.76,1,0,48.865575,2.33049
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,3750000.0,172.0,6.0,217 RUE SAINT-HONORE 75001,21802.33,1,0,48.865575,2.33049
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1918000.0,88.0,3.0,26 RUE DE LA REYNIE 75001,21795.45,1,0,48.860207,2.34853
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1918000.0,88.0,1.0,26 RUE DE LA REYNIE 75001,21795.45,1,0,48.860207,2.34853
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,3000000.0,140.0,5.0,229 RUE SAINT-HONORE 75001,21428.57,1,0,48.866075,2.329477
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,150000.0,7.0,1.0,31 RUE DE RICHELIEU 75001,21428.57,1,0,48.865193,2.336519
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1033333.0,49.0,2.0,18 RUE DE LA SOURDIERE 75001,21088.43,1,0,48.865942,2.332286
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,3015000.0,143.0,5.0,8 RUE HEROLD 75001,21083.92,1,0,48.864749,2.341361
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,3600000.0,175.0,7.0,231 RUE SAINT-HONORE 75001,20571.43,1,0,48.866214,2.329198
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,3330000.0,162.0,6.0,8 RUE DU VINGT-NEUF JUILLET 75001,20555.56,1,0,48.865175,2.330704
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,204100.0,10.0,1.0,1 RUE DES PYRAMIDES 75001,20410.0,1,0,48.864276,2.332325
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,2420000.0,120.0,4.0,26 RUE CAMBON 75001,20166.67,1,0,48.868013,2.326773
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,3015000.0,150.0,6.0,5 RUE COQ HERON 75001,20100.0,1,0,48.864359,2.342206
